location,t,bps,retransmits,snd_cwnd,snd_wnd,rtt,rttvar,phase,S_selected,expected_action,action
21,1.001077,5237239.200456604,0,81088,153600,260704,2909,3,1.0,11,1
21,2.00071,54545969.5961735,0,973056,1771520,261351,1421,3,1.0,11,4
21,3.000072,154239077.7836888,0,10392296,11843072,279341,2574,3,1.0,11,9
21,4.00109,204264369.20375347,1,22762560,11837440,287260,6980,1,1.15,3,3
21,5.000568,99666747.78441286,3754,22416488,8476160,277376,2535,3,1.0,11,11
21,6.00042,132140132.51933226,1,16032256,11811328,288596,1089,3,1.0,11,4
21,7.000069,127971191.39223461,2369,16032256,11862016,263028,3333,3,1.0,11,7
21,8.000404,94340238.08594924,3058,16067008,11823616,275989,6453,2,0.9,6,8
21,9.000608,156205963.12357038,1,11295848,11857920,309246,3610,3,1.0,11,11
21,10.001082,242106303.38999858,305,22921840,6604288,318318,5083,3,1.0,11,1
21,11.000512,122753361.31995766,306,11330600,11859456,264302,3077,3,1.0,11,11
21,12.000266,180399448.1660207,0,11330600,11833344,293258,1128,3,1.0,11,11
21,13.001071,177066801.6245105,3,4931888,6913536,293713,3375,3,1.0,11,11
21,14.000964,83895055.960341,993,15505184,8702976,316104,3811,3,1.0,11,6
21,15.001085,154122023.63140464,63,8635872,11844608,338827,3964,3,1.0,11,7
21,16.001085,126877696.0,2238,7318192,11847168,315659,6039,3,1.0,11,11
21,17.000752,80767248.3942992,2208,4229608,9164800,264998,3089,3,1.0,11,8
21,18.001052,47171766.121868044,991,2972744,11808768,316059,7911,3,1.0,11,5
21,19.001081,89126378.19978923,0,5351808,11834880,300381,6265,3,1.0,11,11
21,20.000089,86068612.07204026,559,3806792,11851264,267759,3053,3,1.0,11,11
21,21.000763,145653891.91889793,0,3806792,11841536,282451,1062,1,1.2,4,4
21,22.000877,98554912.28001264,3,1904120,11806208,265675,1208,3,1.0,11,4
21,23.000314,45114168.426086955,1,4469976,11853824,266481,3474,2,0.9,6,8
21,24.001056,163456577.98326972,0,4506176,11822592,271823,3054,3,1.0,11,3
21,25.000336,133265106.08925761,0,4937680,11855360,263538,1982,3,1.0,11,11
21,26.001089,135164519.02367586,1,7880016,11851776,264688,538,3,1.0,11,2
21,27.000705,211893713.49062553,2,15606544,11830784,274795,2324,3,1.0,11,8
21,28.000392,212927570.9206672,2,15606544,7324160,275692,3299,3,1.0,11,11
21,29.001107,165556632.14078945,3,5576248,5882880,268506,3074,3,1.0,11,10
21,30.000838,152084430.06713468,2091,9343944,8381440,272870,2907,3,1.0,11,11
21,31.00046,114338005.21316564,1,9342496,11840512,277444,1716,3,1.0,11,11
21,32.001056,222165690.92910892,3,11681016,4163072,267114,1272,1,1.1,2,2
21,33.001103,47183703.85408896,3825,6679624,10337280,309038,10335,2,0.9,6,4
21,34.000157,136443953.97708717,0,4992704,11845632,279423,1080,3,1.0,11,4
21,35.000178,89127090.03923334,1,4992704,11856896,271832,2835,3,1.0,11,11
21,36.001107,210568158.60316914,1,7842368,11860480,266309,2430,3,1.0,11,9
21,37.001132,71301383.0446845,1643,3841544,7968256,277247,5101,3,1.0,11,5
21,38.0006,146878775.31575757,1,6277080,11843072,284127,4506,3,1.0,11,11
21,39.001096,126814792.07722361,3,6275632,11826688,275450,3664,3,1.0,11,1
21,40.000641,203516348.38702026,0,7370320,11852800,279688,5857,1,1.15,3,1
21,41.000783,213879137.81133875,2,7383352,11821056,272496,3226,3,1.0,11,3
21,42.000271,138482935.80302358,2,7465888,11853824,293586,1256,3,1.0,11,11
21,43.001092,136203058.05518794,1,8482384,11850240,276929,3282,2,0.9,6,8
21,44.000701,226581010.64107785,1,12464384,11857920,270834,2479,3,1.0,11,11
21,45.001055,323895308.3510958,0,12464384,11837440,278880,2885,3,1.0,11,11
21,46.001096,236968458.39849937,1,12464384,11852800,291217,4711,3,1.0,11,11
21,47.000937,213943526.41042036,1448,3973312,9394176,276614,2404,3,1.0,11,9
21,48.000133,131177467.6092017,1,6355272,11804672,277314,5274,3,1.0,11,5
21,49.001091,93233949.06066185,2,6355272,8949760,276534,2907,3,1.0,11,9
21,50.000565,183597374.23660982,0,7258824,11854336,278202,3767,3,1.0,11,11
21,51.000713,106938918.8442244,730,6356720,11843072,331809,2986,3,1.0,11,5
21,52.000525,114316274.66509567,1231,5095512,11859456,277162,11137,3,1.0,11,5
21,53.000656,91214161.94058934,0,6356720,11853824,296092,3778,3,1.0,11,11
21,54.001096,92234104.85664345,2,6353824,8365056,277521,3578,3,1.0,11,11
21,55.000955,211842226.9631044,1,7464440,11857920,268595,1611,1,1.15,3,2
21,56.000645,146846162.86225834,3,7464440,11845632,291024,5535,3,1.0,11,2
21,57.001083,96426759.49677764,2,7473128,11856896,342291,8346,3,1.0,11,9
21,58.00106,96471211.5510661,406,5648648,9975808,378975,4785,3,1.0,11,3
21,59.000176,137484992.2501181,302,5060760,11830784,272097,4619,3,1.0,11,3
21,60.001087,90095459.27168533,21,5648648,11857920,310498,14784,3,1.0,11,3
21,61.001076,80741242.32231747,390,5083928,11855360,470084,12088,3,1.0,11,5
21,62.001083,0.0,1909,3971864,11809280,434624,3115,2,0.9,6,2
21,63.001086,89128694.37579162,1392,4454048,11577344,394676,25649,3,1.0,11,11
21,64.001087,0.0,2760,1875160,11106304,310798,25364,3,1.0,11,8
21,65.000507,68196995.1299816,11,876040,11851264,345666,1683,3,1.0,11,11
21,66.001077,44015100.80345796,282,3793760,11859456,339703,3811,3,1.0,11,11
21,67.001097,53476305.02144866,588,3032112,7269376,328742,3129,3,1.0,11,11
21,68.000202,59822374.421717435,2,4454048,11845632,275457,2253,3,1.0,11,11
21,69.000532,72327877.87513657,2,4454048,11852800,278766,2222,3,1.0,11,11
21,70.000723,171933629.270556,2,4480112,11853824,303212,2230,1,1.2,4,4
21,71.000887,65001049.748950176,1,3816928,11808768,301675,1388,3,1.0,11,11
21,72.001077,51370462.604856476,5,3814032,6943232,272458,2849,2,0.9,6,6
21,73.000633,108051302.23782167,1,4481560,11820032,267839,2067,3,1.0,11,4
21,74.001053,137305791.09278062,0,4493144,11853824,269177,2407,3,1.0,11,11
21,75.00017,137484852.8163503,0,4627808,11853824,268079,2213,3,1.0,11,4
21,76.000237,134208736.60238427,0,6376992,11855360,271809,813,3,1.0,11,1
21,77.000314,140498364.3332139,1,15916416,11833344,272448,3537,3,1.0,11,11
